1262549704,16.36,-99.52,4
1262553476,16.55,-98.75,4
1262555913,16.51,-99.5,4
1262570805,16.27,-99.53,3.9
1262595482,17.41,-100.71,3.5
1262644941,18.14,-100.91,3.7
1262721024,18.3,-100.59,3.5
1262737020,18.23,-100.09,4
1262764180,17.08,-101.17,4.1
1262769454,17.01,-100.86,4.7
1262892011,18.27,-100.68,3.5
1262894195,17.78,-100.02,3.3
1262907521,17.99,-101.41,3.9
1262918199,16.32,-99.28,3.7
1263013757,16.73,-100.21,3.7
1263044712,16.43,-99.25,3.6
1263045674,16.42,-99.41,3.2
1263147874,17.39,-100.96,4
1263226108,18.02,-101.61,3.9
1263276398,18.61,-100.05,3.6
1263297489,17.45,-101.2,3.8
1263302684,17.5,-101.22,3.9
1263346547,16.98,-99.01,3.8
1263502361,17.09,-100.22,3.6
1263526557,16.32,-99.43,3.6
1263534179,17.94,-100.95,4
1263680853,16.85,-99.58,3.7
1263711035,16.67,-99.63,3.7
1263731862,16.55,-100.01,3.7
1263801992,16.71,-99.79,3.7
1263854416,16.19,-100.25,3.6
1263869961,17.9,-100.38,3.7
1263884151,18.38,-100.78,3.8
1263885435,17.48,-101.3,3.6
1264035559,16.88,-100.14,4.2
1264040491,16.83,-100,3.4
1264046926,17.08,-101.13,4.2
1264059964,16.97,-99.83,3.9
1264162921,17.96,-101.1,3.9
1264291665,16.88,-100.13,3.7
1264294363,16.66,-100.12,3.7
1264371635,17.37,-101.56,3.7
1264384339,16.84,-102.1,3.7
1264386547,17.07,-99.95,3.5
1264418527,17.38,-100.44,3.6
1264429634,16.98,-100.17,3.7
1264511622,17.34,-100.87,3.8
1264529898,16.87,-99.03,3.6
1264579390,18.3,-100.99,3.9
1264586524,16.83,-100.42,3.8
1264607594,16.75,-99.89,4.1
1264612838,16.77,-99.93,4.1
1264616102,15.99,-98.95,3.9
1264643851,16.86,-100.13,3.8
1264645324,18.32,-100.58,3.8
1264692973,17.12,-100.33,3.5
1264714935,16.75,-99.95,3.5
1264726712,18.02,-99.49,3.6
1264728624,16.53,-99.66,3.4
1264771341,17.41,-101.38,4
1264927572,16.57,-100.82,3.8
1264946514,16.84,-100.76,3.5
1264946779,16.91,-100.83,3.7
1264950991,16.65,-100.56,4.2
1264951155,16.96,-100.74,3.9
1264951447,16.61,-100.78,3.5
1264951516,16.83,-100.77,3.7
1264952081,16.69,-100.73,3.5
1264952152,16.92,-100.61,3.7
1264952444,17.02,-100.5,3.9
1264953090,16.75,-100.76,3.8
1264953310,16.82,-100.73,3.7
1264953610,16.86,-100.79,3.8
1264964273,16.55,-100.49,4.1
1265201154,17.1,-100.51,3.9
1265225213,17.76,-101.71,3.9
1265299538,17.43,-101.65,4.1
1265299782,17.46,-101.62,4
1265360038,17.46,-100.93,3.9
1265505511,17.72,-98.4,4
1265518938,17.9,-101.57,3.7
1265579567,16.52,-98.49,3.5
1265706950,16.96,-98.98,3.5
1265863868,16.68,-99.68,3.5
1265879519,16.99,-100.18,3.5
1265921684,17.11,-100.55,3.6
1265923459,16.81,-100.1,3.6
1266006463,16.32,-98.85,4.1
1266027834,18.39,-100.28,3.8
1266043940,16.8,-100.21,3.4
1266063530,16.8,-100.2,3.6
1266149145,16.69,-99.77,3.5
1266154560,16.47,-100.2,3.6
1266159161,16.16,-98.68,4.2
1266159720,16.2,-98.65,4.1
1266211849,16.16,-99.28,3.6
1266217052,16.6,-100.45,3.6
1266220168,16.74,-99.68,3.8
1266222117,16.74,-99.66,3.4
1266229932,16.68,-99.68,3.6
1266238424,16.71,-99.68,3.7
1266244072,16.17,-100.92,3.7
1266309993,16.39,-98.83,3.7
1266373347,17.54,-101.34,3.5
1266381450,17.06,-100.09,3.5
1266390322,17,-99.82,3.7
1266429057,15.89,-99.6,3.8
1266430239,16.54,-99.49,3.6
1266438883,17.81,-99.16,3.7
1266439621,16.86,-99.91,3.1
1266535671,17.01,-100.52,3.7
1266554342,17.01,-100.52,3.8
1266556009,17.08,-99.5,3.8
1266558124,17.01,-100.51,3.9
1266560002,16.96,-100.53,3.9
1266560251,16.98,-100.53,3.8
1266565867,16.92,-100.31,3.7
1266592124,17.36,-100.24,3.8
1266647100,16.79,-100.08,3.4
1266668867,17.71,-99.56,3.7
1266670714,16.88,-100.21,3.6
1266675092,16.54,-99.73,3.6
1266683948,17.87,-101.56,3.5
1266699541,16.76,-100.09,3.7
1266750047,16.53,-99.18,3.6
1266774590,16.8,-100.63,3.7
1266824182,17.08,-101.55,3.9
1266855428,18.09,-100.62,3.7
1266889920,17.84,-100.21,3.7
1266898371,17.37,-100.06,3.7
